antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'vegetarian', 'high_calories_burned'})",frozenset({'high_steps'}),0.287049504950495,0.35097029702970295,0.1748118811881188,0.6089955849889624,1.7351769940161705,1.0,0.07406603117341437,1.6599037710404774,0.594276767415512,0.3773939808481533,0.3975554381847268,0.5535386410613962
frozenset({'high_strain'}),frozenset({'high_calories_burned'}),0.30613861386138613,0.35104950495049503,0.18542574257425742,0.6056921086675291,1.7253751967345567,1.0,0.07795593373198707,1.6457963670382787,0.6059076439643521,0.39304902619207527,0.39239141607806116,0.5669480398933313
"frozenset({'high_fat_intake', 'low_resting_hr'})",frozenset({'high_protein_intake'}),0.3101782178217822,0.37465346534653465,0.19762376237623763,0.6371297242083759,1.7005840947422295,1.0,0.0814144181942947,1.723333588812787,0.5972075049168265,0.40562510160949444,0.41972929298679484,0.5823069339857947
frozenset({'high_calories_burned'}),frozenset({'high_steps'}),0.35104950495049503,0.35097029702970295,0.20902970297029702,0.595442238267148,1.6965602026907571,1.0,0.08582175394569161,1.6042942797347222,0.6326708346809612,0.4240038560411311,0.37667296291466246,0.595509428770225
frozenset({'high_steps'}),frozenset({'high_calories_burned'}),0.35097029702970295,0.35104950495049503,0.20902970297029702,0.5955766192733017,1.696560202690757,1.0,0.08582175394569161,1.6046314975247526,0.63259362320492,0.4240038560411311,0.3768039568321048,0.595509428770225
frozenset({'high_fat_intake'}),frozenset({'high_protein_intake'}),0.3695841584158416,0.37465346534653465,0.23477227722772276,0.6352336048006858,1.695523099494431,1.0,0.09630629154004508,1.7143753999371734,0.6506998841396842,0.46082089552238803,0.4166971831043266,0.6309360413009771
frozenset({'high_protein_intake'}),frozenset({'high_fat_intake'}),0.37465346534653465,0.3695841584158416,0.23477227722772276,0.6266384778012685,1.6955230994944308,1.0,0.09630629154004508,1.6884863707208773,0.6559747153727353,0.46082089552238803,0.40775358490275343,0.6309360413009771
"frozenset({'high_steps', 'vegetarian'})",frozenset({'high_calories_burned'}),0.29386138613861384,0.35104950495049503,0.1748118811881188,0.5948787061994609,1.6945721267527516,1.0,0.07165198706009215,1.6018671567755578,0.580453362967624,0.37186183656276334,0.37572850796633644,0.5464240101394416
"frozenset({'high_steps', 'low_resting_hr', 'high_strain'})",frozenset({'high_calories_burned'}),0.19041584158415842,0.35104950495049503,0.11255445544554456,0.5910981697171381,1.683802886434763,1.0,0.045709068522693866,1.5870569583916685,0.5016232741287361,0.2624192059095106,0.3699028918197082,0.4558604566997243
"frozenset({'low_resting_hr', 'high_protein_intake'})",frozenset({'high_fat_intake'}),0.3184950495049505,0.3695841584158416,0.19762376237623763,0.6204924148221835,1.678893428446221,1.0,0.0799130375453387,1.6611416114088473,0.5933479697656587,0.4029392764857882,0.39800436450936894,0.5776058302143494
"frozenset({'high_steps', 'low_resting_hr', 'vegetarian'})",frozenset({'high_calories_burned'}),0.23508910891089108,0.35104950495049503,0.13671287128712872,0.5815363881401618,1.656565185078868,1.0,0.054184955984707406,1.5507931314870622,0.5181535473220455,0.3041945717307015,0.35516866840834166,0.4854884106765791
